"","OTU","Size","Taxonomy"
"132","Otu0132",2094,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_5;"
"133","Otu0133",2077,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9;"
"134","Otu0134",2065,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"135","Otu0135",2039,"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthellaceae_unclassified;"
"136","Otu0136",2038,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_ge;"
"137","Otu0137",2036,"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;"
"138","Otu0138",2013,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;"
"139","Otu0139",1935,"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;"
"140","Otu0140",1902,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_NK4A214_group;"
"141","Otu0141",1902,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_unclassified;"
"142","Otu0142",1901,"Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Pseudoramibacter;"
"143","Otu0143",1877,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;"
"144","Otu0144",1860,"Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Family_XIII_AD3011_group;"
"145","Otu0145",1839,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-002;"
"146","Otu0146",1838,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"147","Otu0147",1786,"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;"
"148","Otu0148",1785,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;"
"149","Otu0149",1774,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus;"
"150","Otu0150",1748,"Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XIII;Family_XIII_ge;"
"151","Otu0151",1721,"Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema_2;"
"152","Otu0152",1696,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;"
"153","Otu0153",1694,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;"
"154","Otu0154",1678,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"155","Otu0155",1655,"Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;"
"156","Otu0156",1641,"Bacteria;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;Bacteria_unclassified;"
"157","Otu0157",1628,"Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_unclassified;"
"158","Otu0158",1618,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;"
"159","Otu0159",1613,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacteriaceae_unclassified;"
"160","Otu0160",1589,"Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;"
"161","Otu0161",1583,"Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderiaceae_unclassified;"
"162","Otu0162",1577,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;"
"163","Otu0163",1543,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-008;"
"164","Otu0164",1542,"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichiaceae_unclassified;"
"165","Otu0165",1535,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;"
"166","Otu0166",1528,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;"
"167","Otu0167",1523,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;"
"168","Otu0168",1522,"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacteriaceae_unclassified;"
"169","Otu0169",1516,"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Peptococcus;"
"170","Otu0170",1469,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas;"
"171","Otu0171",1441,"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;"
"172","Otu0172",1437,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;"
"173","Otu0173",1432,"Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Oligosphaeraceae;horsej-a03;"
"174","Otu0174",1431,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_unclassified;Bacteroidales_unclassified;"
"175","Otu0175",1407,"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;"
"176","Otu0176",1388,"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;"
"177","Otu0177",1388,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001;"
"178","Otu0178",1382,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-003;"
"179","Otu0179",1378,"Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;"
"180","Otu0180",1377,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"181","Otu0181",1374,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_unclassified;"
"182","Otu0182",1365,"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthellaceae_unclassified;"
"183","Otu0183",1357,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;"
"184","Otu0184",1356,"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_unclassified;"
"185","Otu0185",1353,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-005;"
"186","Otu0186",1347,"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira;"
"187","Otu0187",1347,"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"188","Otu0188",1340,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;dgA-11_gut_group;"
"189","Otu0189",1337,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;uncultured;"
"190","Otu0190",1335,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group;"
