"","group","Pig","Tissue","Day","Treatment","Genus","value","All","value2"
"11138","SRD129_P164_N_D10",164,"N","D10","Control","Fusobacterium",0.000501002004008016,"D10_Control",0.00501002004008016
"11139","SRD129_P164_N_D14",164,"N","D14","Control","Fusobacterium",0.00100050025012506,"D14_Control",0.0100050025012506
"11140","SRD129_P164_N_D21",164,"N","D21","Control","Fusobacterium",0,"D21_Control",0
"11141","SRD129_P164_N_D3",164,"N","D3","Control","Fusobacterium",0.00350175087543772,"D3_Control",0.0350175087543772
"11142","SRD129_P164_N_D36",164,"N","D36","Control","Fusobacterium",0,"D36_Control",0
"11143","SRD129_P164_N_D42",164,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11144","SRD129_P164_N_D7",164,"N","D7","Control","Fusobacterium",0.00150075037518759,"D7_Control",0.0150075037518759
"11145","SRD129_P165_N_D0",165,"N","D0","Control","Fusobacterium",0,"D0_Control",0
"11146","SRD129_P165_N_D1",165,"N","D1","Control","Fusobacterium",0.002,"D1_Control",0.02
"11147","SRD129_P165_N_D10",165,"N","D10","Control","Fusobacterium",0.00200501253132832,"D10_Control",0.0200501253132832
"11148","SRD129_P165_N_D14",165,"N","D14","Control","Fusobacterium",0.000500250125062531,"D14_Control",0.00500250125062531
"11149","SRD129_P165_N_D21",165,"N","D21","Control","Fusobacterium",0,"D21_Control",0
"11150","SRD129_P165_N_D3",165,"N","D3","Control","Fusobacterium",0.000500250125062531,"D3_Control",0.00500250125062531
"11151","SRD129_P165_N_D36",165,"N","D36","Control","Fusobacterium",0.004,"D36_Control",0.04
"11152","SRD129_P165_N_D42",165,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11153","SRD129_P165_N_D7",165,"N","D7","Control","Fusobacterium",0.001,"D7_Control",0.01
"11154","SRD129_P166_N_D0",166,"N","D0","Control","Fusobacterium",0.00100200400801603,"D0_Control",0.0100200400801603
"11155","SRD129_P166_N_D1",166,"N","D1","Control","Fusobacterium",0.0025,"D1_Control",0.025
"11156","SRD129_P166_N_D10",166,"N","D10","Control","Fusobacterium",0.002,"D10_Control",0.02
"11157","SRD129_P166_N_D14",166,"N","D14","Control","Fusobacterium",0.0005005005005005,"D14_Control",0.005005005005005
"11158","SRD129_P166_N_D21",166,"N","D21","Control","Fusobacterium",0,"D21_Control",0
"11159","SRD129_P166_N_D3",166,"N","D3","Control","Fusobacterium",5e-04,"D3_Control",0.005
"11160","SRD129_P166_N_D36",166,"N","D36","Control","Fusobacterium",0,"D36_Control",0
"11161","SRD129_P166_N_D42",166,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11162","SRD129_P166_N_D7",166,"N","D7","Control","Fusobacterium",0.0015015015015015,"D7_Control",0.015015015015015
"11163","SRD129_P167_N_D0",167,"N","D0","Control","Fusobacterium",0.002,"D0_Control",0.02
"11164","SRD129_P167_N_D1",167,"N","D1","Control","Fusobacterium",0.00200100050025012,"D1_Control",0.0200100050025013
"11165","SRD129_P167_N_D10",167,"N","D10","Control","Fusobacterium",5e-04,"D10_Control",0.005
"11166","SRD129_P167_N_D14",167,"N","D14","Control","Fusobacterium",0,"D14_Control",0
"11167","SRD129_P167_N_D21",167,"N","D21","Control","Fusobacterium",0.000500250125062531,"D21_Control",0.00500250125062531
"11168","SRD129_P167_N_D3",167,"N","D3","Control","Fusobacterium",0.00250375563345018,"D3_Control",0.0250375563345018
"11169","SRD129_P167_N_D36",167,"N","D36","Control","Fusobacterium",0,"D36_Control",0
"11170","SRD129_P167_N_D42",167,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11171","SRD129_P167_N_D7",167,"N","D7","Control","Fusobacterium",0.000500250125062531,"D7_Control",0.00500250125062531
"11172","SRD129_P168_N_D0",168,"N","D0","Control","Fusobacterium",0.00251130085384229,"D0_Control",0.0251130085384229
"11173","SRD129_P168_N_D1",168,"N","D1","Control","Fusobacterium",0.00300751879699248,"D1_Control",0.0300751879699248
"11174","SRD129_P168_N_D10",168,"N","D10","Control","Fusobacterium",0.0005005005005005,"D10_Control",0.005005005005005
"11175","SRD129_P168_N_D14",168,"N","D14","Control","Fusobacterium",0.002002002002002,"D14_Control",0.02002002002002
"11176","SRD129_P168_N_D21",168,"N","D21","Control","Fusobacterium",0,"D21_Control",0
"11177","SRD129_P168_N_D3",168,"N","D3","Control","Fusobacterium",0.00150075037518759,"D3_Control",0.0150075037518759
"11178","SRD129_P168_N_D36",168,"N","D36","Control","Fusobacterium",0.00100351229302559,"D36_Control",0.0100351229302559
"11179","SRD129_P168_N_D42",168,"N","D42","Control","Fusobacterium",0,"D42_Control",0
"11180","SRD129_P168_N_D7",168,"N","D7","Control","Fusobacterium",0.00200300450676014,"D7_Control",0.0200300450676014
"11181","SRD129_P169_N_D0",169,"N","D0","Control","Fusobacterium",0.002002002002002,"D0_Control",0.02002002002002
"11182","SRD129_P169_N_D1",169,"N","D1","Control","Fusobacterium",0.0025,"D1_Control",0.025
"11183","SRD129_P169_N_D10",169,"N","D10","Control","Fusobacterium",0,"D10_Control",0
"11184","SRD129_P169_N_D14",169,"N","D14","Control","Fusobacterium",0,"D14_Control",0
"11185","SRD129_P169_N_D21",169,"N","D21","Control","Fusobacterium",0,"D21_Control",0
"11186","SRD129_P169_N_D28",169,"N","D28","Control","Fusobacterium",0.000500751126690035,"D28_Control",0.0125187781672509
