"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu03791",3.66584389976392,1.66416949559649,0.634039718378777,2.62470859057809,0.00867231545584301,0.0291797908278953,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","uncultured","2.9e-02","BB","Otu0379","D36_BBvsControl","Erysipelotrichaceae uncultured"
"Otu0382",9.14050612624389,0.907277037036764,0.321336600543988,2.82344754846115,0.00475101991387409,0.0167752061156542,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetitomaculum","1.7e-02","BB","Otu0382","D36_BBvsControl","Lachnospiraceae Acetitomaculum"
"Otu0383",5.25099406789249,-2.72871305431403,0.600418775411298,-4.54468308797441,5.50179674534529e-06,3.74646159325893e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum","0.0e+00","Control","Otu0383","D36_BBvsControl","Lachnospiraceae Cellulosilyticum"
"Otu04093",3.77140899134782,3.97941204954192,0.817050688545612,4.87045920813733,1.11339186055443e-06,8.1648736440658e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","0.0e+00","BB","Otu0409","D36_BBvsControl","Xanthomonadaceae Stenotrophomonas"
"Otu04162",1.85637430546658,4.31698065127436,1.26854215322636,3.40310382299456,0.000666249582450686,0.00288708152395297,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudochrobactrum","3.0e-03","BB","Otu0416","D36_BBvsControl","Rhizobiaceae Pseudochrobactrum"
"Otu04331",10.4276614691472,6.4893246073297,1.09522597239584,5.92510109410032,3.12105325884303e-09,3.43315858472734e-08,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Beutenbergiaceae","Beutenbergiaceae_unclassified","0.0e+00","BB","Otu0433","D36_BBvsControl","Beutenbergiaceae Beutenbergiaceae_unclassified"
"Otu0479",8.02106752917279,1.67246534103514,0.593580983188604,2.81758578593771,0.00483861869461611,0.0168761578861001,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales_unclassified","Micrococcales_unclassified","1.7e-02","BB","Otu0479","D36_BBvsControl","Micrococcales_unclassified Micrococcales_unclassified"
"Otu0485",5.07786016842415,-1.1724619504364,0.45683024213569,-2.56651561629353,0.0102725999573657,0.0341623673000766,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-013","3.4e-02","Control","Otu0485","D36_BBvsControl","Ruminococcaceae Ruminococcaceae_UCG-013"
"Otu04902",2.12199680710911,4.52411196517649,0.991567494585773,4.5625859962931,5.05273870062369e-06,3.52459333750823e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Saccharibacillus","0.0e+00","BB","Otu0490","D36_BBvsControl","Paenibacillaceae Saccharibacillus"
"Otu0512",6.43596299155767,5.83060656288001,0.993421840745176,5.86921519513443,4.37862811371441e-09,4.6381023723049e-08,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacteriaceae_unclassified","0.0e+00","BB","Otu0512","D36_BBvsControl","Sphingobacteriaceae Sphingobacteriaceae_unclassified"
